Degenerate,Position,TextUnit,MoveAmount,Start,End,Result_MoveAmount,Result_Start,Result_End,Skip
TRUE,1,TextUnit_Document,-1,origin,origin,0,origin,origin,FALSE
TRUE,1,TextUnit_Document,0,origin,origin,0,origin,origin,FALSE
TRUE,1,TextUnit_Document,1,origin,origin,1,docEnd,docEnd,TRUE
TRUE,1,TextUnit_Document,5,origin,origin,1,docEnd,docEnd,TRUE
FALSE,1,TextUnit_Document,-5,origin,originP1C,0,origin,docEnd,TRUE
FALSE,1,TextUnit_Document,-1,origin,originP1C,0,origin,docEnd,TRUE
FALSE,1,TextUnit_Document,0,origin,originP1C,0,origin,docEnd,TRUE
FALSE,1,TextUnit_Document,1,origin,originP1C,0,origin,docEnd,TRUE
FALSE,1,TextUnit_Document,5,origin,originP1C,0,origin,docEnd,TRUE
TRUE,2,TextUnit_Document,-5,midTop,midTop,-1,origin,origin,FALSE
TRUE,2,TextUnit_Document,-1,midTop,midTop,-1,origin,origin,FALSE
TRUE,2,TextUnit_Document,0,midTop,midTop,0,origin,origin,TRUE
TRUE,2,TextUnit_Document,1,midTop,midTop,1,docEnd,docEnd,TRUE
TRUE,2,TextUnit_Document,5,midTop,midTop,1,docEnd,docEnd,TRUE
FALSE,2,TextUnit_Document,-5,midTop,midTopP1C,0,origin,docEnd,TRUE
FALSE,2,TextUnit_Document,-1,midTop,midTopP1C,0,origin,docEnd,TRUE
FALSE,2,TextUnit_Document,0,midTop,midTopP1C,0,origin,docEnd,TRUE
FALSE,2,TextUnit_Document,1,midTop,midTopP1C,0,origin,docEnd,TRUE
FALSE,2,TextUnit_Document,5,midTop,midTopP1C,0,origin,docEnd,TRUE
TRUE,3,TextUnit_Document,-5,midHistory,midHistory,-1,origin,origin,FALSE
TRUE,3,TextUnit_Document,-1,midHistory,midHistory,-1,origin,origin,FALSE
TRUE,3,TextUnit_Document,0,midHistory,midHistory,0,origin,origin,TRUE
TRUE,3,TextUnit_Document,1,midHistory,midHistory,1,docEnd,docEnd,TRUE
TRUE,3,TextUnit_Document,5,midHistory,midHistory,1,docEnd,docEnd,TRUE
FALSE,3,TextUnit_Document,-5,midHistory,midHistoryP1C,0,origin,docEnd,TRUE
FALSE,3,TextUnit_Document,-1,midHistory,midHistoryP1C,0,origin,docEnd,TRUE
FALSE,3,TextUnit_Document,0,midHistory,midHistoryP1C,0,origin,docEnd,TRUE
FALSE,3,TextUnit_Document,1,midHistory,midHistoryP1C,0,origin,docEnd,TRUE
FALSE,3,TextUnit_Document,5,midHistory,midHistoryP1C,0,origin,docEnd,TRUE
